
# timestamp ; field [FU] ; field [Hz] ; base frequency 1H [Hz]
# FU: field-units
2020-10-13T15:54:23.997+0200;0.00;0.00;799700000.00
2020-10-13T18:49:17.611+0200;123.00;801.27;799700000.00
2022-03-21T11:51:21.146+0100;0.30;1.95;799700000.00
2022-10-17T11:06:32.298+0200;0.30;1.95;799700000.00
2022-10-18T11:07:29.666+0200;0.30;1.95;799700000.00
2022-10-19T11:08:29.549+0200;0.30;1.95;799700000.00
2022-10-20T11:09:29.675+0200;0.30;1.95;799700000.00
2022-10-21T11:10:29.698+0200;0.30;1.95;799700000.00
2022-10-22T11:11:29.541+0200;0.30;1.95;799700000.00
2022-10-23T11:12:29.692+0200;0.30;1.95;799700000.00
2022-10-24T11:13:29.545+0200;0.30;1.95;799700000.00
2022-10-25T11:15:29.289+0200;0.30;1.95;799700000.00
2022-10-26T11:17:29.059+0200;0.30;1.95;799700000.00
2022-10-27T11:19:29.207+0200;0.30;1.95;799700000.00
2022-10-28T11:21:29.060+0200;0.30;1.95;799700000.00
2022-10-29T11:23:29.043+0200;0.30;1.95;799700000.00
2022-10-30T10:25:29.023+0100;0.30;1.95;799700000.00
2022-10-31T10:26:29.103+0100;0.30;1.95;799700000.00
2022-11-01T10:28:29.260+0100;0.30;1.95;799700000.00
2022-11-02T10:30:29.189+0100;0.30;1.95;799700000.00
2022-11-03T10:32:29.062+0100;0.30;1.95;799700000.00
2022-11-04T10:34:29.080+0100;0.30;1.95;799700000.00
2022-11-05T10:35:29.304+0100;0.30;1.95;799700000.00
2022-11-06T10:37:29.085+0100;0.30;1.95;799700000.00
2022-12-05T10:18:06.429+0100;0.30;1.95;799700000.00
2022-12-06T10:19:04.323+0100;0.30;1.95;799700000.00
2022-12-07T10:20:04.297+0100;0.30;1.95;799700000.00
2022-12-08T10:21:04.470+0100;0.30;1.95;799700000.00
2022-12-09T10:22:04.344+0100;0.30;1.95;799700000.00
2022-12-10T10:23:04.422+0100;0.30;1.95;799700000.00
2022-12-11T10:24:04.443+0100;0.30;1.95;799700000.00
2022-12-12T10:25:04.515+0100;0.30;1.95;799700000.00
2022-12-13T10:26:04.718+0100;0.30;1.95;799700000.00
2022-12-14T10:27:04.390+0100;0.30;1.95;799700000.00
2022-12-15T10:28:04.676+0100;0.30;1.95;799700000.00
2022-12-16T10:29:04.426+0100;0.30;1.95;799700000.00
2022-12-17T10:30:04.674+0100;0.30;1.95;799700000.00
2022-12-18T10:31:04.572+0100;0.30;1.95;799700000.00
2022-12-19T10:32:04.507+0100;0.30;1.95;799700000.00
2022-12-20T10:33:04.316+0100;0.30;1.95;799700000.00
2022-12-21T10:34:04.776+0100;0.30;1.95;799700000.00
2022-12-22T10:35:04.499+0100;0.30;1.95;799700000.00
2022-12-23T10:36:04.542+0100;0.30;1.95;799700000.00
2022-12-24T10:37:04.455+0100;0.30;1.95;799700000.00
2022-12-25T10:38:04.502+0100;0.30;1.95;799700000.00
2022-12-26T10:39:04.398+0100;0.30;1.95;799700000.00
2022-12-27T10:40:04.349+0100;0.30;1.95;799700000.00
2022-12-28T10:41:04.444+0100;0.30;1.95;799700000.00
2022-12-29T10:42:04.468+0100;0.30;1.95;799700000.00
2022-12-30T10:43:04.501+0100;0.30;1.95;799700000.00
2022-12-31T10:44:04.583+0100;0.30;1.95;799700000.00
2023-01-01T10:45:04.389+0100;0.30;1.95;799700000.00
