HeliumLevel_%,NitrogenLevel_%
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
75,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
74,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
73,Disabl
