# timestamp ; field [FU] ; field [Hz] ; base frequency 1H [Hz]
2017-08-08T15:18:51.522+0200;-2494.76;-16251.84;600550000.00
2017-08-09T22:35:33.536+0200;-2494.76;-16251.84;600550000.00
2017-08-10T22:36:33.534+0200;-2494.76;-16251.84;600550000.00
2017-08-11T22:37:33.538+0200;-2494.76;-16251.84;600550000.00
2017-08-12T22:38:33.539+0200;-2494.76;-16251.84;600550000.00
2017-08-13T22:39:33.539+0200;-2494.76;-16251.84;600550000.00
2017-08-14T22:40:33.537+0200;-2494.76;-16251.84;600550000.00
2017-08-15T22:41:33.538+0200;-2494.76;-16251.84;600550000.00
2017-08-16T22:42:33.536+0200;-2494.76;-16251.84;600550000.00
2017-08-17T22:43:33.542+0200;-2494.76;-16251.84;600550000.00
2017-08-18T22:44:33.542+0200;-2494.76;-16251.84;600550000.00
2017-08-19T22:45:33.537+0200;-2494.76;-16251.84;600550000.00
2017-08-20T22:46:33.541+0200;-2494.76;-16251.84;600550000.00
2017-08-28T10:39:57.145+0200;-2496.74;-16264.76;600550000.00
2017-08-28T22:40:55.922+0200;-2491.92;-16233.39;600550000.00
2017-08-29T10:40:56.057+0200;-2498.27;-16274.75;600550000.00
2017-08-29T22:41:55.929+0200;-2516.83;-16395.62;600550000.00
2017-08-30T10:41:56.044+0200;-2501.59;-16296.33;600550000.00
2017-08-30T22:42:55.925+0200;-2498.88;-16278.70;600550000.00
2017-08-31T22:43:55.924+0200;-2496.08;-16260.45;600550000.00
2017-09-01T22:44:55.938+0200;-2497.73;-16271.20;600550000.00
2017-09-02T22:45:55.929+0200;-2498.36;-16275.34;600550000.00
2017-09-03T22:46:55.928+0200;-2499.01;-16279.57;600550000.00
2017-09-05T09:02:09.829+0200;-2499.01;-16279.57;600550000.00
2017-09-06T09:03:09.865+0200;-2499.01;-16279.57;600550000.00
2017-09-07T09:04:09.880+0200;-2499.01;-16279.57;600550000.00
2017-09-08T09:05:09.873+0200;-2499.01;-16279.57;600550000.00
2017-09-09T09:06:09.865+0200;-2499.01;-16279.57;600550000.00
2017-09-10T09:07:09.882+0200;-2499.01;-16279.57;600550000.00
2017-09-11T09:08:09.860+0200;-2499.01;-16279.57;600550000.00
2017-09-12T04:04:22.769+0200;-2478.92;-16148.68;600550000.00
2017-09-12T15:41:39.760+0200;-2518.52;-16406.64;600550000.00
2017-09-13T17:08:42.596+0200;-2506.72;-16329.75;600550000.00
2017-09-14T12:01:39.494+0200;-2513.76;-16375.63;600550000.00
2017-09-20T08:52:26.862+0200;-2509.54;-16348.15;600550000.00
2017-09-25T08:52:32.181+0200;-1857.59;-12101.07;600550000.00
2017-09-25T20:53:31.132+0200;-2500.47;-16289.06;600550000.00
2017-09-26T20:54:31.132+0200;-2504.90;-16317.94;600550000.00
2017-09-27T20:55:31.141+0200;-2505.09;-16319.16;600550000.00
2017-09-28T20:56:31.140+0200;-2500.24;-16287.54;600550000.00
2017-09-29T20:57:31.139+0200;-2499.61;-16283.48;600550000.00
2017-09-30T08:57:31.239+0200;-2502.92;-16304.99;600550000.00
2017-10-01T08:58:31.252+0200;-2502.08;-16299.56;600550000.00
2017-10-02T08:59:31.237+0200;-2501.65;-16296.75;600550000.00
2017-10-02T21:00:31.145+0200;-2498.63;-16277.10;600550000.00
2017-10-03T21:01:31.146+0200;-2500.53;-16289.48;600550000.00
2017-10-04T21:02:31.146+0200;-2501.29;-16294.40;600550000.00
2017-10-05T21:03:31.145+0200;-2500.71;-16290.65;600550000.00
2017-10-06T22:19:48.116+0200;-2502.65;-16303.25;600550000.00
2017-10-07T22:20:48.113+0200;-2502.64;-16303.23;600550000.00
2017-10-08T22:21:48.112+0200;-2502.64;-16303.23;600550000.00
2017-10-09T22:22:48.112+0200;-2502.93;-16305.12;600550000.00
2017-10-10T22:23:48.124+0200;-2503.12;-16306.32;600550000.00
2017-10-11T10:23:48.245+0200;-2509.00;-16344.64;600550000.00
2017-10-17T10:33:43.557+0200;-356.00;-2319.13;600550000.00
2017-10-17T22:34:42.226+0200;-2512.88;-16369.91;600550000.00
2017-10-18T22:35:42.221+0200;-2513.65;-16374.92;600550000.00
2017-10-19T22:36:42.226+0200;-2512.42;-16366.93;600550000.00
2017-10-20T22:37:42.216+0200;-2512.33;-16366.30;600550000.00
2017-10-21T22:38:42.227+0200;-2512.05;-16364.48;600550000.00
2017-10-22T22:39:42.229+0200;-2514.18;-16378.38;600550000.00
2017-10-23T10:39:42.346+0200;-2503.71;-16310.17;600550000.00
2017-10-23T22:40:42.229+0200;-2475.19;-16124.36;600550000.00
2017-10-25T08:49:05.711+0200;-2419.21;-15759.70;600550000.00
2017-10-26T08:49:59.789+0200;-2419.21;-15759.70;600550000.00
2017-10-27T08:50:59.800+0200;-2419.21;-15759.70;600550000.00
2017-10-28T14:14:06.474+0200;-2419.21;-15759.70;600550000.00
2017-10-29T13:15:06.453+0100;-2419.21;-15759.70;600550000.00
2017-10-30T13:16:06.483+0100;-2419.21;-15759.70;600550000.00
2017-10-31T13:17:06.450+0100;-2511.42;-16360.37;600550000.00
2017-11-01T01:18:06.359+0100;-2461.43;-16034.75;600550000.00
2017-11-02T01:19:06.358+0100;-2461.43;-16034.75;600550000.00
2017-11-03T01:20:06.369+0100;-2515.27;-16385.47;600550000.00
2017-11-04T01:21:06.369+0100;-2513.95;-16376.89;600550000.00
2017-11-05T01:22:06.365+0100;-2513.45;-16373.62;600550000.00
2017-11-06T01:23:06.373+0100;-2513.77;-16375.70;600550000.00
2017-11-06T12:13:03.629+0100;-2516.05;-16390.53;600550000.00
2017-11-07T00:14:00.446+0100;-2508.21;-16339.49;600550000.00
2017-11-08T00:15:00.436+0100;-2507.99;-16338.04;600550000.00
2017-11-09T00:16:00.444+0100;-2509.23;-16346.12;600550000.00
2017-11-10T00:17:00.446+0100;-2506.75;-16329.94;600550000.00
2017-11-10T12:17:00.550+0100;-2515.69;-16388.19;600550000.00
2017-11-11T00:18:00.439+0100;-2507.04;-16331.83;600550000.00
2017-11-12T00:19:00.448+0100;-2508.43;-16340.89;600550000.00
2017-11-13T00:20:00.442+0100;-2508.70;-16342.68;600550000.00
2017-11-14T02:39:25.604+0100;-2517.69;-16401.25;600550000.00
2017-11-15T02:40:25.621+0100;-2309.86;-15047.35;600550000.00
2017-11-15T14:40:25.708+0100;-2519.26;-16411.46;600550000.00
2017-11-16T02:41:25.601+0100;-2517.00;-16396.73;600550000.00
2017-11-16T14:41:25.744+0100;-2521.40;-16425.39;600550000.00
2017-11-17T02:42:25.608+0100;-2516.73;-16394.99;600550000.00
2017-11-17T14:42:25.718+0100;-2520.22;-16417.69;600550000.00
